
Session altered.

=== TABLES ===
TABLE_NAME|COMMENTS
BL_BATCH_LOG|
BL_BILLING|
BL_OVERDUE|
BL_PAYMENT|
CM_AUTH|
CM_CODE|
CM_CODE_GROUP|
CM_MENU|
CM_NOTIFICATION|
CM_ROLE|
CM_ROLE_AUTH|
CM_USER|
CM_USER_AUTH|
CT_CONTRACT|
CT_CUSTOMER|
CT_ENGINEER|
CT_EQUIPMENT|
CT_PRODUCT|
CT_VISIT|

=== COLUMNS ===
TABLE_NAME|COLUMN_NAME|DATA_TYPE|DATA_LENGTH|NULLABLE
CM_ROLE_AUTH|ROLE_ID|NUMBER|22|N
CM_ROLE_AUTH|AUTH_CODE|VARCHAR2|50|N
CM_ROLE_AUTH|WRK_RMK|VARCHAR2|100|Y
CM_ROLE_AUTH|FIRS_REG_PGM_ID|VARCHAR2|50|N
CM_ROLE_AUTH|FIRS_REG_DTS|TIMESTAMP(0)|7|N
CM_ROLE_AUTH|FIRS_REG_USER_ID|VARCHAR2|20|N
CM_ROLE_AUTH|FIRS_REG_IP|VARCHAR2|50|N
CM_ROLE_AUTH|FINA_REG_PGM_ID|VARCHAR2|50|N
CM_ROLE_AUTH|FINA_REG_DTS|TIMESTAMP(0)|7|N
CM_ROLE_AUTH|FINA_REG_USER_ID|VARCHAR2|20|N
CM_ROLE_AUTH|FINA_REG_IP|VARCHAR2|50|N
CM_USER|USER_ID|NUMBER|22|N
CM_USER|EMAIL|VARCHAR2|254|N
CM_USER|PASSWORD|VARCHAR2|255|N
CM_USER|USER_NAME|VARCHAR2|100|N
CM_USER|PHONE|VARCHAR2|20|Y
CM_USER|ROLE_ID|NUMBER|22|Y
CM_USER|USE_YN|VARCHAR2|1|N
CM_USER|LOGIN_FAIL_CNT|NUMBER|22|N
CM_USER|LOCKED_AT|TIMESTAMP(0)|7|Y
CM_USER|LAST_LOGIN_AT|TIMESTAMP(0)|7|Y
CM_USER|WRK_RMK|VARCHAR2|100|Y
CM_USER|FIRS_REG_PGM_ID|VARCHAR2|50|N
CM_USER|FIRS_REG_DTS|TIMESTAMP(0)|7|N
CM_USER|FIRS_REG_USER_ID|VARCHAR2|20|N
CM_USER|FIRS_REG_IP|VARCHAR2|50|N
CM_USER|FINA_REG_PGM_ID|VARCHAR2|50|N
CM_USER|FINA_REG_DTS|TIMESTAMP(0)|7|N
CM_USER|FINA_REG_USER_ID|VARCHAR2|20|N
CM_USER|FINA_REG_IP|VARCHAR2|50|N
CM_USER_AUTH|USER_AUTH_ID|NUMBER|22|N
CM_USER_AUTH|USER_ID|NUMBER|22|N
